Title,Link,Published_Date,Abstract,Lead Paragraph,Body Text,Newspaper
"Under Israeli Bombs, a Wartime Economy Emerges in Gaza",https://www.nytimes.com/2024/05/18/world/middleeast/israel-gaza-economy.html,2024-05-18T09:00:30+0000,"Amid the destruction, a marketplace of survival has arisen focused on the basics: food, shelter and money.","On tables and desks from schools turned shelters, wartime vendors lined a street, selling used clothes, baby formula, canned food and the rare batch of homemade cookies.","Israel-HamasWar Advertisement Supported by Amid the destruction, a marketplace of survival has arisen focused on the basics: food, shelter and money. ByRaja AbdulrahimandBilal Shbair Raja Abdulrahim reported from Jerusalem, and Bilal Shbair from Deir al Balah, Gaza. On tables and desks from schools turned shelters, wartime vendors lined a street, selling used clothes, baby formula, canned food and the rare batch of homemade cookies. In some cases, entire aid parcels — still emblazoned with the flags of their donating countries and meant to be distributed for free — were stacked on sidewalks and sold for prices few could afford. Issam Hamouda, 51, stood next to his paltry commercial offering: an array of canned vegetables and beans from an aid carton his family had received. “Most of the goods found in the markets are labeled, ‘Not for sale,’” he said. Before the Israel-Hamas war devastated Gaza’s economy, he was a driving instructor. Now, Mr. Hamouda supports his family of eight the only way he can — by reselling some of the food aid they receive every few weeks. “Once I got four kilos of dried dates and sold a kilo for 8 shekels,” he said, referring to the Israeli currency amounting to roughly $2. In the seven months since Israel started bombarding Gaza and imposed a siege in response to the Oct. 7 Hamas-led attack, the enclave’s economy has been crushed. People have been forced to flee their homes and jobs. Markets, factories and infrastructure have been bombed and flattened. Farmland has been scorched by airstrikes or occupied by Israeli forces. We are having trouble retrieving the article content. Please enable JavaScript in your browser settings. Thank you for your patience while we verify access. If you are in Reader mode please exit andlog intoyour Times account, orsubscribefor all of The Times. Thank you for your patience while we verify access. Already a subscriber?Log in. Want all of The Times?Subscribe. Advertisement",The New York Times
U.S. Considers Imposing Sanctions on Israeli Military Unit,https://www.nytimes.com/2024/04/21/world/middleeast/us-sanctions-israel-gaza.html,2024-04-21T22:54:59+0000,Israeli leaders expressed alarm about the possible action by the Biden administration over rights violations in the West Bank.,"The United States is considering imposing sanctions on one or more Israeli battalions accused of human rights violations during operations in the occupied West Bank, according to a person familiar with the deliberations.","Israel-HamasWar Advertisement Supported by Israeli leaders expressed alarm about the possible action by the Biden administration over rights violations in the West Bank. ByIsabel Kershner,Adam RasgonandJulian E. Barnes The United States is considering imposing sanctions on one or more Israeli battalions accused of human rights violations during operations in the occupied West Bank, according to a person familiar with the deliberations. Israeli leaders, including Prime Minister Benjamin Netanyahu, on Saturday called the possibility of the Biden administration’s placing such sanctions “the peak of absurdity and a moral low” at a time when Israeli forces are fighting a war in Gaza against Hamas. Mr. Netanyahu said in a social mediapostthat his government would “act by all means” against any such move. The news about the possible sanctions,reported earlier by Axios, came only a day afterthe House approved $26 billionfor Israel and humanitarian aid for civilians in conflict zones, including Gaza. The sanctions, if imposed, would not hold up the military aid that was just approved in Congress. On Sunday, Palestinians in the West Bank went on a general strike toprotest a deadly Israeli military raidat a refugee camp. At least 10 people were killed in the raid on Saturday, the latest operation in a sweeping economic and security clampdown in the Israeli-occupied territory. Since the Hamas-led Oct. 7 attacks on Israel, hundreds of Palestinians have been killed and detained in raids in the West Bank, which Israeli officials describe as counterterrorism operations against Hamas and other armed groups. The strike on Sunday “paralyzed all aspects of life” in the West Bank, with shops, schools, universities and banks shuttered, according to the official Palestinian news agency, Wafa. Public transportation also was halted. We are having trouble retrieving the article content. Please enable JavaScript in your browser settings. Thank you for your patience while we verify access. If you are in Reader mode please exit andlog intoyour Times account, orsubscribefor all of The Times. Thank you for your patience while we verify access. Already a subscriber?Log in. Want all of The Times?Subscribe. Advertisement",The New York Times
These Issues Are Testing the U.S.-China Thaw,https://www.nytimes.com/2024/04/25/world/asia/blinken-china-united-states-thaw.html,2024-04-25T04:46:13+0000,"Secretary of State Antony J. Blinken is in China this week as tensions have risen over trade, security, Russia’s war on Ukraine and the Middle East crisis.","Secretary of State Antony J. Blinken is meeting officials in China this week as disputes over wars, trade, technology and security are testing the two countries’ efforts to stabilize the relationship.","Israel-HamasWar Advertisement Supported by Secretary of State Antony J. Blinken is in China this week as tensions have risen over trade, security, Russia’s war on Ukraine and the Middle East crisis. ByAna Swanson,David PiersonandOlivia Wang Ana Swanson covers trade and the U.S.-China relationship and is accompanying Mr. Blinken on his trip. David Pierson covers China’s foreign policy and its influence in the world. Secretary of State Antony J. Blinken is meeting officials in China this week as disputes over wars, trade, technology and security are testing the two countries’ efforts to stabilize the relationship. The United States is heading into an election year in which President Biden will face intense pressure to confront China’s authoritarian government and offer new protections for American businesses and workers from low-priced Chinese imports. China is courting foreign investment to help its sluggish economy. At the same time, its leader, Xi Jinping, has been bolstering national security and expanding China’s military footprint around Taiwan and the South China Sea in ways that have alarmed its neighbors. Mr. Biden and Mr. Xi have held talks to prevent their countries’ disputes from spiraling into conflict, after relations sank to their lowest point in decades last year. But an array of challenges could make steadying the relationship difficult. The United States has been pushing back against China’s increasingly assertive claims over swaths of the South China Sea and the self-governed island of Taiwan by building security alliances in Asia. That effort has promptedmore concerns in Beijing that the United States is leading a campaign to encircle China and contain its rise. We are having trouble retrieving the article content. Please enable JavaScript in your browser settings. Thank you for your patience while we verify access. If you are in Reader mode please exit andlog intoyour Times account, orsubscribefor all of The Times. Thank you for your patience while we verify access. Already a subscriber?Log in. Want all of The Times?Subscribe. Advertisement",The New York Times
"With Iran’s Strikes, Arab Countries Fear an Expanding Conflict",https://www.nytimes.com/2024/04/15/world/middleeast/iran-israel-mideast.html,2024-04-15T05:41:43+0000,The Iranian attack on Israeli territory made the Middle East’s new reality undeniable: Clashes are getting harder and harder to contain.,"Arab countries, from the United Arab Emirates and Oman to Jordan and Egypt, have tried for months to tamp down the conflict between Israel and Hamas, especially after it widened to include armed groups backed by Iran and embedded deep within the Arab world. Some of them, like the Houthis, threaten Arab governments as well.","Israel-HamasWar Advertisement Supported by News Analysis The Iranian attack on Israeli territory made the Middle East’s new reality undeniable: Clashes are getting harder and harder to contain. ByAlissa J. RubinandVivian Nereim Arab countries, from the United Arab Emirates and Oman to Jordan and Egypt, have tried for months to tamp down the conflict between Israel and Hamas, especially after it widened to include armed groups backed by Iran and embedded deep within the Arab world. Some of them, like the Houthis, threaten Arab governments as well. But the Iranian drone and missile attack on Israel over the weekend, which put the entire region on alert, made the new reality unavoidable: Unlike past Israeli-Palestinian conflicts, and even those involving Israel and Lebanon or Syria, this one keeps expanding. “Part of why these wars were contained was that they were not a direct confrontation between Israel and Iran,” said Randa Slim, a senior fellow at the Washington-based Middle East Institute. “But now we are entering this era where a direct confrontation between Israel and Iran — that could drag the region into the conflict and that could drag the U.S. in — now that prospect of a regional war is going to be on the table all the time.” For the moment, the only countervailing force is the desire of both the United States and its longtime foe Iran to avoid a widening of the conflict, said Joost Hiltermann, the International Crisis Group's program director for the Middle East and North Africa. “I am heartened by the fact that the only ones who want a war are Israel and Hamas,” he said. “The Iranians are still talking to the Americans,” he said, referring to messages sent in recent days between the two by intermediaries including Switzerland and Oman. The Iranian message, said Mr. Hiltermann, made clear they were looking to demonstrate their power, not expand the war. “They said, ‘There is going to be an attack, but we are going to keep it limited.’” We are having trouble retrieving the article content. Please enable JavaScript in your browser settings. Thank you for your patience while we verify access. If you are in Reader mode please exit andlog intoyour Times account, orsubscribefor all of The Times. Thank you for your patience while we verify access. Already a subscriber?Log in. Want all of The Times?Subscribe. Advertisement",The New York Times
"To Battle Wartime Hunger, Gazans Turn to a Humble Leafy Green",https://www.nytimes.com/2024/04/07/world/middleeast/gaza-hunger-food-khobeza.html,2024-04-07T07:53:33+0000,"Palestinians have long gathered and cooked khobeza, a spinach-like wild plant that sprouts after rains. Now, it has become a lifeline.","As the Israeli military campaign to destroy Hamas pummeled his neighborhood in northern Gaza, reducing buildings to rubble and forcing residents to flee, the Palestinian laborer realized that he was running out of food.","Israel-HamasWar Advertisement Supported by Palestinians have long gathered and cooked khobeza, a spinach-like wild plant that sprouts after rains. Now, it has become a lifeline. ByBen HubbardandBilal Shbair Ben Hubbard reported from Istanbul, and Bilal Shbair from Deir al Balah, Gaza. As theIsraeli military campaignto destroy Hamas pummeled his neighborhood in northern Gaza, reducing buildings to rubble and forcing residents to flee, the Palestinian laborer realized that he was running out of food. The shops had closed, the markets had emptied and fighting prevented supplies from reaching them. So he and his remaining neighbors gathered a plant known as khobeza that grew near their homes and cooked it to sustain themselves, he said. “It supported us more than everyone else in the world,” the laborer, Amin Abed, 35, said recently by phone from Gaza. “People survived the darkest chapters of the war on khobeza alone.” For many generations, the people of the Holy Land have foraged for khobeza, a hearty green with a taste and texture somewhere between spinach and kale that sprouts in knee-high thickets along roadsides and empty patches of dirt after the first winter rains. Cooks sauté it in olive oil, season it with onions or boil it into soup to make tasty, low-cost meals. Now, this green, a variety of mallow, is making up an outsize portion of many Gazans’ diets by providing an inexpensive way to blunt hunger. At a time when most other food islargely unavailableor prohibitively expensive, Gazans can harvest khobeza themselves and cook it by itself, or with a few other ingredients. We are having trouble retrieving the article content. Please enable JavaScript in your browser settings. Thank you for your patience while we verify access. If you are in Reader mode please exit andlog intoyour Times account, orsubscribefor all of The Times. Thank you for your patience while we verify access. Already a subscriber?Log in. Want all of The Times?Subscribe. Advertisement",The New York Times
The Other War: How Israel Scours Gaza for Clues About the Hostages,https://www.nytimes.com/2024/06/09/world/middleeast/gaza-hostage-rescues-israel.html,2024-06-09T23:52:38+0000,The rescue of four Israelis in Gaza in a ferocious assault over the weekend offered a glimpse into an ambitious intelligence operation aimed at bringing home those held by Hamas.,"The hostages in Gaza are being moved around, with Hamas shuttling some from one apartment to another to obscure their whereabouts, while others are believed to be in tunnels underground.","Israel-HamasWar Advertisement Supported by The rescue of four Israelis in Gaza in a ferocious assault over the weekend offered a glimpse into an ambitious intelligence operation aimed at bringing home those held by Hamas. ByJulian E. Barnes,Ronen Bergman,Eric SchmittandAdam Entous Reporting from Washington and Tel Aviv The hostages in Gaza are being moved around, with Hamas shuttling some from one apartment to another to obscure their whereabouts, while others are believed to be in tunnels underground. All the while, at a “fusion cell” quietly formed in Israel last fall, American and Israeli intelligence and military analysts share imagery from drones and satellites, along with communications intercepts and any other information that comes their way that might offer a hint to the hostages’ locations. More than one war is being waged in the Gaza Strip. For the most part, the world sees the airstrikes and the ground invasion, which Israel says are aimed at dismantling Hamas and have reduced much of the territory to rubble, setting off a humanitarian crisis. Butthe rescueon Saturday of four hostages was a reminder that Israel and Hamas are engaged in another, less visible battle: The militants are determined to hold on to the hostages they seized during their deadly Oct. 7 attack on Israel, for use as human bargaining chips. The Israelis are determined to bring them home. For more than eight months, the militants have had the upper hand. Israeli and American officials say they do not know where many hostages are being held. And even when they do, in many cases, a rescue mission is simply not possible. To date, Israel has rescued a total of seven hostages, but the stark reality is that since the war began, more hostages have died, either in the fighting or at the hands of Hamas. Israel has recovered far more bodies than living hostages. We are having trouble retrieving the article content. Please enable JavaScript in your browser settings. Thank you for your patience while we verify access. If you are in Reader mode please exit andlog intoyour Times account, orsubscribefor all of The Times. Thank you for your patience while we verify access. Already a subscriber?Log in. Want all of The Times?Subscribe. Advertisement",The New York Times
Israel’s Euphoria Over Hostage Rescue May Be Fleeting,https://www.nytimes.com/2024/06/09/world/middleeast/netanyahu-israel-gaza.html,2024-06-09T15:12:14+0000,The operation conducted by Israel’s military to free four hostages resulted in a high death toll among Palestinians and has not resolved the challenges facing the Israeli government.,"For months, Israelis had heard only about hostages being killed or declared dead in Gaza. The “lucky” families were those whose loved ones’ remains were retrieved by soldiers, at great risk, and brought home to Israel for burial.","Israel-HamasWar Advertisement Supported by news analysis The operation conducted by Israel’s military to free four hostages resulted in a high death toll among Palestinians and has not resolved the challenges facing the Israeli government. ByIsabel Kershner Reporting from Jerusalem For months, Israelis had heard only about hostages being killed or declared dead in Gaza. The “lucky” families were those whose loved ones’ remains were retrieved by soldiers, at great risk, and brought home to Israel for burial. So the audacious rescue on Saturday of four living hostages instantly raised morale in Israel and offered at least a momentary victory for the country’s embattled prime minister, Benjamin Netanyahu. But by Sunday, euphoria was already giving way to a harsher reality. The heavy air and ground assault that accompanied the rescue killed scores of Palestinians, including civilians, according to Gaza health officials, puncturing Israel’s claims that the operation was a resounding success, at least internationally. And the operation failed to resolve any of the deep dilemmas and challenges vexing the Israeli government, according to analysts. Eight months into its grinding war in Gaza, Israel still appears to be far from achieving its stated objectives of dismantling Hamas’s military and governing capabilities. And Israelis fear that time is running out for many of the hostages in Gaza. About a third of the 120 that remain have already been declared dead by Israeli authorities. At the same time, Israel’s leadership is grappling with an escalation of hostilities across the northern border with Lebanon and battling increasing international isolation and opprobrium over the war in Gaza, includingallegations of genocidethat are being heard by the International Court of Justice in The Hague. We are having trouble retrieving the article content. Please enable JavaScript in your browser settings. Thank you for your patience while we verify access. If you are in Reader mode please exit andlog intoyour Times account, orsubscribefor all of The Times. Thank you for your patience while we verify access. Already a subscriber?Log in. Want all of The Times?Subscribe. Advertisement",The New York Times
Senior Hezbollah Commander Is Killed in Israeli Strike,https://www.nytimes.com/2024/06/11/world/middleeast/israel-hezbollah-taleb-abdallah-killed.html,2024-06-12T01:49:34+0000,"The commander was among the highest-ranking Hezbollah fighters in Lebanon to have been killed in the eight-month-long conflict, a Lebanese official said.","Israeli forces killed a senior Hezbollah commander in a strike in southern Lebanon late Tuesday, stoking concerns about an escalation of the conflict on another Israeli front.","Israel-HamasWar Advertisement The commander was among the highest-ranking Hezbollah fighters in Lebanon to have been killed in the eight-month-long conflict, a Lebanese official said. ByEphrat LivniandEuan Ward Israeli forces killed a senior Hezbollah commander in a strike in southern Lebanon late Tuesday, stoking concerns about an escalation of the conflict on another Israeli front. In response, Hezbollah fired one of its heaviest rocket barrages yet into Israel on Wednesday, targeting military bases and arms factories. The commander, Taleb Abdallah, also known as Abu Taleb, was among the highest-ranking Hezbollah fighters in Lebanon to have been killed in the eight-month-long conflict, according to a senior Lebanese intelligence official, who spoke on condition of anonymity to discuss the sensitive issue. In an apparent nod to Mr. Abdallah’s seniority, Hezbollah made the rare move of releasing a photo of him alongside Wissam Hassan al-Tawil, a high-ranking commander in the group’s Radwan unit, who was killed in a strike in January. The Israeli military said in a statement that it had struck a Hezbollah command and control center, killing Mr. Abdallah and three other Hezbollah fighters. It called Mr. Abdallah one of Hezbollah’s top commanders in southern Lebanon. Israeli army radio said on Wednesday that around 150 rockets had been launched into northern Israel in an apparent response, with Hezbollah claiming attacks on a string of military bases. We are having trouble retrieving the article content. Please enable JavaScript in your browser settings. Thank you for your patience while we verify access. If you are in Reader mode please exit andlog intoyour Times account, orsubscribefor all of The Times. Thank you for your patience while we verify access. Already a subscriber?Log in. Want all of The Times?Subscribe. Advertisement",The New York Times
Israeli Strike Kills Dozens at Civilian Shelter in Gaza,https://www.nytimes.com/2024/06/06/world/middleeast/israel-gaza-school-killing.html,2024-06-06T21:30:14+0000,"The Israeli military said it had been targeting militants who were hiding in the complex in an effort to evade attack. The former U.N. school was housing 6,000 displaced Gazans.","An Israeli airstrike on Thursday hit a United Nations school complex in central Gaza that had become a shelter for thousands of displaced Palestinians and, Israel said, Hamas militants. Gazan health officials said dozens of people were killed, including women and children.","Israel-HamasWar Advertisement Supported by The Israeli military said it had been targeting militants who were hiding in the complex in an effort to evade attack. The former U.N. school was housing 6,000 displaced Gazans. ByAaron Boxerman,Abu Bakr Bashir,Erika SolomonandThomas Fuller An Israeli airstrike on Thursday hit a United Nations school complex in central Gaza that had become a shelter for thousands of displaced Palestinians and, Israel said, Hamas militants. Gazan health officials said dozens of people were killed, including women and children. The strike was the latest in a deadly surge of fighting in central Gaza, where Israeli forces have announced an offensive against what they describe as a renewed insurgency by Hamas. The strike hit a compound that had been operated by UNRWA, the main U.N. body that aids Palestinians in Gaza. About 6,000 displaced Palestinians were sheltering in the complex, located in the central Gaza area of Nuseirat, when the strike took place, said Juliette Touma, an UNRWA spokeswoman. The Israeli military said its fighter jets had targeted three classrooms in the school building that held 20 to 30 Palestinian militants affiliated with Hamas and Palestinian Islamic Jihad, a smaller militia that, like Hamas, is backed by Iran. Israeli forces had twice postponed the strike to reduce civilian casualties, the military said. The precise toll could not be verified, but the Gaza Health Ministry said that of the roughly 40 people killed in the attack, 14 were children and nine were women. Later in the day, The Associated Press reported different numbers, saying at least 33 people died, including three women and nine children, citing the hospital morgue. Crowds gathered at the Al-Aqsa Martyrs Hospital in the central Gaza city of Deir al Balah to weep and pray over the dead. A local Palestinian videographer posted footage showing a young woman with the body of her small son. We are having trouble retrieving the article content. Please enable JavaScript in your browser settings. Thank you for your patience while we verify access. If you are in Reader mode please exit andlog intoyour Times account, orsubscribefor all of The Times. Thank you for your patience while we verify access. Already a subscriber?Log in. Want all of The Times?Subscribe. Advertisement",The New York Times
"After Weeks of Planning, Seconds Made the Difference in Israel’s Hostage Rescue",https://www.nytimes.com/2024/06/10/world/middleeast/israel-hostage-rescue-gaza.html,2024-06-11T01:47:43+0000,"When a truck carrying three of four rescued hostages broke down and came under fire, Israel says it called in an airstrike. Scores of Palestinians were killed, Gazan officials say.","When the four Israelis woke up in Gaza on Saturday, they had been held hostage by Hamas for 245 days. The buildings in which they were being kept, two low-rise, concrete apartment blocks, looked much like the other nearby residences in a civilian neighborhood full of Palestinian families.","Israel-HamasWar Advertisement Supported by When a truck carrying three of four rescued hostages broke down and came under fire, Israel says it called in an airstrike. Scores of Palestinians were killed, Gazan officials say. ByBilal ShbairandRonen Bergman Bilal Shbair reported from Nuseirat in the Gaza Strip, and Ronen Bergman from Tel Aviv. When the four Israelis woke up in Gaza on Saturday, they had been heldhostage by Hamas for 245 days. The buildings in which they were being kept, two low-rise, concrete apartment blocks, looked much like the other nearby residences in a civilian neighborhood full of Palestinian families. Within a few hours, the captives,three men and one woman, would be reunited with their own families, the result of a risky, long-planned rescue operation in which the full might of the Israeli military would be used to devastating effect. “I’m so emotional,” one hostage, Noa Argamani, 26, told Prime Minister Benjamin Netanyahu of Israel in a phone call after her release. “It’s been so long since I heard Hebrew.” The rescue effort in Nuseirat involved hundreds of intelligence officers and two teams of commandos who simultaneously stormed the homes in which the hostages were being held, the Israeli military said. In one apartment, where the male hostages were imprisoned, a firefight broke out between the soldiers and the Hamas guards, according to the military and video footage it released of the encounter. Later, and under a hail of gunfire, the truck in which three hostages and a wounded Israeli officer were being evacuated broke down and was surrounded by militants, Israeli officials said. In an effort to give the rescuers enough time and ample cover to get the captives to freedom, the military said, the air force began striking dozens of nearby targets. Many Palestinians became aware of the fighting only when they heard bombs exploding. We are having trouble retrieving the article content. Please enable JavaScript in your browser settings. Thank you for your patience while we verify access. If you are in Reader mode please exit andlog intoyour Times account, orsubscribefor all of The Times. Thank you for your patience while we verify access. Already a subscriber?Log in. Want all of The Times?Subscribe. Advertisement",The New York Times
